scheme_code,scheme_name,isin_growth,isin_reinvestment,plan,aum,ter_pct,ter_date,nsdl_scheme_code
121931,Bandhan Banking and PSU Fund - Regular Fortnightly IDCW,,INF194K016M4,regular,1047000,,,
121280,Bandhan Banking and PSU Fund - Regular Growth,INF194K01SN6,,regular,39806806000,,,
121282,Bandhan Banking and PSU Fund - Regular IDCW,INF194K01SO4,INF194K012D2,regular,28450000,,,
121932,Bandhan Banking and PSU Fund - Regular Monthly IDCW,,INF194K017M2,regular,24594000,,,
121937,Bandhan Banking and PSU Fund - Regular Quarterly IDCW,INF194K014M9,,regular,12611000,,,
150505,Canara Robeco Banking and PSU Debt Fund- Direct Plan- Growth Option,INF760K01KC4,,direct,621685000,,,
150507,Canara Robeco Banking and PSU Debt Fund- Direct Plan- IDCW Payout,INF760K01KE0,INF760K01KD2,direct,1812000,,,
150503,Canara Robeco Banking and PSU Debt Fund- Regular Plan- Growth Option,INF760K01KF7,,regular,1228091000,,,
150504,Canara Robeco Banking and PSU Debt Fund- Regular Plan- IDCW (Payout/ Reinvestment),INF760K01KH3,INF760K01KG5,regular,4948000,,,
124175,DSP Banking & PSU Debt Fund - Direct Plan - Growth,INF740K01ZW2,,direct,27784341000,,,
124178,DSP Banking & PSU Debt Fund - Direct Plan - IDCW,INF740K01A18,INF740K01A26,direct,2325000,,,
124182,DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Daily Reinvest,,INF740KA1OF7,direct,88000,,,
124176,DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Monthly,INF740K01ZX0,INF740K01ZY8,direct,1220000,,,
124177,DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Quarterly,INF740K01ZZ5,INF740K01A00,direct,1013000,,,
124183,DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Weekly,INF740KA1OG5,INF740KA1OH3,direct,19000,,,
124172,DSP Banking & PSU Debt Fund - Regular Plan - Growth,INF740K01ZP6,,regular,5935867000,,,
